ID;STRUCTURE PORTEUSE;NATURE JURIDIQUE;NOM DU LIEUX;ADRESSE;CODE POSTAL;VILLE;LATITUDE;LONGITUDE;TYPE DE LIEU;ACTIVITES PROPOSEES;HORAIRES;MATERIELS DISPONIBLES;AUTRES LABELS;URL FACEBOOK;URL TWITTER;URL YOUTUBE;PLUS D'INFORMATION;LOGO
23;COMMUNAUTE DE COMMUNES GUILLESTROIS QUEYRAS;COLLECTIVITE;MSAP DU QUEYRAS;Maison du Queyras, place Jean Léa;5470;AIGUILLES;44.78195; 6.869565;LIEU DE MEDIATION NUMERIQUE;Accés libre informatique, accompagnements aux outils et aux téléprocédures pendant les horaires d'ouvertures, ateliers thématiques (impression 3D, démarches en lignes, emploi, …). Participation à des événements grand public type forum, journée des familles ...;Lundi, mercredi, jeudi,vendredi 9h30-12h00/14h-18h;Ordinateurs fixes et portables, copieur/scanner, vidéoprojecteur, tablettes, imprimante 3D;"Maison de Service Au Public (MSAP); Maison de la Saisonnalité";www.facebook.com/msapqueyras/;https://twitter.com/RSP_Queyras;;www.comcomgq.com;https://i.goopics.net/mvDo1.png
24;SPORT ET CULTURE EN CHAMPSAUR;ASSOCIATION ;CENTRE SOCIAL ASSOCIATIF PLANETE CHAMPSAURVALGO;2 avenue  de Merly, quartier du Roure;5500;SAINT BONNET EN CHAMSAUR; 44° 40' 43.737'' ;6° 4' 58.1766'';LIEU DE MEDIATION NUMERIQUE;"Point Connexion Internet, ateliers Multimédia, photo numérique, Vidéo; ateliers initiation numérique, sensibilisation à la sécurité sur Internet et les réseaux sociaux";"Lundi 14h-18h; mardi 9h-12h; mercredi,jeudi 10h-12h/15h-18h; vendredi 8h30-12h00";Ordinateurs, Imprimante, Scanner;"Centre social; Point Info Familles; Maison des Adolescents";https://www.facebook.com/Plan%C3%A8te-Champsaur-Valgo-166146733403274/;;;https://www.youtube.com/channel/UCOxanfEOFxW4nTwBXIjCZCw;https://i.goopics.net/AJ8Xo.png
25;COMMUNAUTE DE COMMUNES GUILLESTROIS QUEYRAS;COLLECTIVITE;MSAP DU GUILLESTROIS;Passage des écoles;5600;GUILLESTRE;44.661421;6.64977;LIEU DE MEDIATION NUMERIQUE;Accés libre informatique, accompagnements aux outils et aux téléprocédures pendant les horaires d'ouvertures, ateliers thématiques (impression 3D, démarches en lignes, emploi, …). Participation à des événements grand public type forum, journée des familles ...;Lundi au jeudi 9h-12h15/13h30-16h45;Ordinateurs fixes et portables, copieur/scanner, vidéoprojecteur, tablettes, imprimante 3D;"Maison de Service Au Public (MSAP); Maison de la Saisonnalité";www.facebook.com/msap.guillestrois/;https://twitter.com/MSAP_Guillestre;;www.comcomgq.com;https://i.goopics.net/mvDo1.png
26;COMMUNAUTE DE COMMUNES SISTERONNAIS BUECH;EPCI;MSAP DU SERROIS;rue des jardins;5700;SERRES;44.4268;5.7133;"ESPACE DE COWORKING ;LIEU DE MEDIATION NUMERIQUE";Ateliers de sensibilisation à la culture numérique,  aux démarches administratives, ateliers de sensibilisation auprès des jeunes sur les réseaux sociaux, création de supports de communication en ligne,coworking, accompagnement individualisé pour la recherche d'emploi et les démarches administrative.;Lundi au vendredi 9h-12h/14h-17h;Postes informatiques en accés libres, imprimante scanner, 1 poste informatique équipé en visio.;Maison de Services Au Public (MSAP);https://www.facebook.com/CCSisteronaisBuech/;https://www.facebook.com/CCSisteronaisBuech/;;https://www.sisteronais-buech.fr;https://i.goopics.net/qvDJd.png
27;CAP JEUNNESSE CÔTE D'AZUR;ASSOCIATION;BUREAU INFORMATION JEUNESSE;6 avenue Félix Faure ;6000;NICE;43.6986836;7.2747611;"LIEU DE MEDIATION NUMERIQUE; BUREAU INFORMATION JEUNESSE";Accès internet gratuit, ateliers numériques, accompagnement, information, documentation, orientation, emploi, logement, loisirs;"Mardi, jeudi , vendredi 13h-17h; mercredi 9h00-12h00/13h-17h";Ordinateurs fixes et portables;Information Jeunesse (IJ);http://www.facebook.com/capjeunesseca/;https://twitter.com/Capjeunesseca;www.youtube.com/channel/UCJusaUaxWzCaDCE0vMxjWrw;http://www.cap-jeunesse.fr;https://i.goopics.net/WbmlK.jpg
28;CENTRE D'INNOVATION ET D'USAGES EN SANTE;ASSOCIATION ;CENTRE D'INNOVATION ET D'USAGES EN SANTE;27 rue Professeur Delvalle;6000;NICE;43.723450;7.284452;LIVING LAB;Accéléreration de projet de développement des technologies offrant des solutions pour la santé, l'autonomie et le bien-être. Mise en réseau acteurs de la santé et de l’innovation.;"Lundi au vendredi 9h-18h; week-ends et soirées sur demande";Salle d'attente et son cabinet médical témoins aménagés, technologies innovantes destinées à cette étape du parcours de soin;;https://www.facebook.com/CIUSante/;https://twitter.com/CiuSante;;http://www.ciusante.org;https://i.goopics.net/9qXGg.png
29;TETRIS;SARL-SCIC;CENTIFO’LAB;17-21 Avenue CHIRIS ;6130;GRASSE;43.658225;6.928505;"FABLAB; SOCIAL LAB; ESPACE DE COWORKING; LIEU DE MEDIATION NUMERIQUE";FabLab, ateliers et groupes projets (Datas, IoT, …), prototypage, outillage, animations, coworking;"Lundi,mardi 12h-18h; mercredi 9h-14h; jeudi 9h-18h; vendredi 14h-21h; samedi 9h-12h";Imprimantes 3D, scanner 3D, découpeuse laser, arduinos et cartes diverses, capteurs IoT, antennes LoRa, serveur local, postes informatiques;"Pôle entreprenariat collectif; Pôle Territorial de Coopération Economique";https://www.facebook.com/Centifolab/;;https://www.youtube.com/channel/UC576oYojFuSxNwNVJv-HBaQ;http://www.centifolab.org;https://i.goopics.net/8ge9x.png
30;INITIATIVE TERRES D'AZUR;ASSOCIATION;PEPINIERE D'ENTREPRISES INNOVANTE INNOVAGRASSE;4 Traverse Dupont;6130;GRASSE;;;"ESPACE DE COWORKING; PEPINIERE D'ENTREPRISE";"Accompagnement et financement des créateurs et chefs d’entreprise; ateliers; évènements Frenchtech; conférences; formations; permanences d'experts sur plusieurs thématiques : innovation, numérique, data, référencement, réseaux sociaux, propriété intellectuelle, levée de fonds, commercial, gestion, juridique.";Lundi au vendredi 9h-18h00;Vidéoprojecteur, paperboard, mobilier mobile, tableau d'affichage, reprographie, connexion Internet, laboratoires, tableaux tactiles numériques ;;http://www.facebook.com/InnovaGrasse/;;http://www.youtube.com/channel/UC9pMraSlvVZsB192vplnCfg;http://www.innovagrasse.fr/;https://i.goopics.net/7qGnp.png
31;EVALECO;ASSOCIATION ;NUM'ERIC 21;21 avenue Chiris;6130;GRASSE;;;"FABLAB; OPEN FACTORY; LIEU DE MEDIATION NUMERIQUE"; Accueil individuel pour cerner les besoins, rendez-vous individuels, temps collectifs par thématiques, ateliers de découverte, de médiation et d'approfondissement                                      ;Lundi au vendredi 9h-18h00/samedi 9h-12h;Postes informatiques, imprimantes 3D, découpeuse laser, scanner 3D , logiciels modélisation 3D;"Agrément éducation nationale; agrément éducation populaire";https://www.facebook.com/assoevaleco/;;https://www.youtube.com/channel/UCvsk9XhPL3Fy2TSEVVgClLA;http://www.evaleco.org/;https://i.goopics.net/Xv8rX.png
32;ITEC;ASSOCIATION;LES CASERNES;28 avenue mathias duval;6130;GRASSE;;;LIEU DE MEDIATION NUMERIQUE;Accompagnement des usagers pour :E administration, emploi, initiation numerique. Organisation de conférences.;Lundi au vendredi : 9h-12h/14h18h;Salles informatiques ,salle de cours, espace d'accueil avec documentation ;Relais CAF;https://fr-fr.facebook.com/itec06;;;www.itec06.fr;https://i.goopics.net/x5Wpo.png
